studentID,country,activityID,activitytype,level,total_waited
PTP-3,PT,5,delaygratification,1,1
PTP-3,PT,6,delaygratification,2,1
PTP-3,PT,28,delaygratification,3,0.716345833333333
PTP-4,PT,39,delaygratification,1,1
PTP-4,PT,41,delaygratification,2,0.974641666666667
PTP-4,PT,43,delaygratification,3,0.690240277777778
PTP-4,PT,10,delaygratification,1,1
PTP-4,PT,12,delaygratification,2,1
PTP-4,PT,14,delaygratification,3,1
PTP-5,PT,40,delaygratification,1,1
PTP-5,PT,41,delaygratification,2,0.974641666666667
ROP-10,RO,112,delaygratification,1,1
ROP-10,RO,113,delaygratification,2,0.389758333333333
ROP-10,RO,114,delaygratification,3,0.709908333333333
ROP-10,RO,165,delaygratification,1,1
ROP-11,RO,119,delaygratification,1,1
ROP-11,RO,120,delaygratification,2,0.768127777777778
ROP-11,RO,121,delaygratification,3,0.242334722222222
ROP-12,RO,91,delaygratification,1,1
ROP-12,RO,93,delaygratification,2,0.370672222222222
ROP-12,RO,95,delaygratification,3,0.126797222222222
ROP-12,RO,96,delaygratification,3,0.0125416666666667
ROP-12,RO,97,delaygratification,3,0.104595833333333
ROP-2,RO,32,delaygratification,1,0.1212
ROP-2,RO,33,delaygratification,2,0.0260416666666667
ROP-2,RO,34,delaygratification,3,0.0117263888888889
ROP-3,RO,8,delaygratification,1,0.603422222222222
ROP-3,RO,9,delaygratification,2,0.529161111111111
ROP-6,RO,103,delaygratification,1,1
ROP-6,RO,104,delaygratification,2,1
ROP-6,RO,105,delaygratification,3,1
ROP-8,RO,132,delaygratification,1,0.457205555555556
ROP-8,RO,133,delaygratification,2,0.754058333333333
ROP-8,RO,135,delaygratification,3,0.690933333333333
ROP-9,RO,146,delaygratification,1,0.0880333333333333
ROP-9,RO,148,delaygratification,2,0.0328638888888889
ROP-9,RO,149,delaygratification,3,0.0148305555555556
