studentID,country,activityID,activitytype,level,selectedEggs,meanRT_Eggs,emotion,emotionIntensity,bubble,maladaptative,understanding,regulation
PTP-4,PT,53,emotioneggpyramid,1,60,235.65,1,3,0,0,100,1
PTP-4,PT,80,emotioneggpyramid,2,60,200.416666666667,-1,1,0,0,100,1
PTP-4,PT,51,emotioneggpyramid,1,60,78.3666666666667,0,1,0,0,100,1
PTP-4,PT,63,emotioneggpyramid,2,60,75.2,-1,3,0,0,100,1
PTP-5,PT,24,emotioneggpyramid,1,60,172.65,1,1,0,0,100,1
PTP-6,PT,60,emotioneggpyramid,1,60,109,2,1,0,0,100,1
PTP-7,PT,66,emotioneggpyramid,1,60,115.666666666667,0,1,0,0,100,1
PTP-7,PT,70,emotioneggpyramid,2,60,161.433333333333,-1,3,0,0,100,1
PTP-8,PT,83,emotioneggpyramid,1,60,114.533333333333,3,1,0,0,100,1
PTP-8,PT,86,emotioneggpyramid,2,60,75.5333333333333,-1,3,0,0,100,1
ROP-10,RO,111,emotioneggpyramid,1,60,142.583333333333,0,3,0,0,100,0.75
ROP-11,RO,81,emotioneggpyramid,1,60,170.516666666667,1,3,0,0,100,0.5
ROP-11,RO,118,emotioneggpyramid,2,60,119.2,-1,0,0,0,100,0.75
ROP-12,RO,172,emotioneggpyramid,1,60,539.95,1,1,0,0,100,0.75
ROP-2,RO,99,emotioneggpyramid,1,0,0,1,3,0,0,100,0.75
ROP-2,RO,100,emotioneggpyramid,2,0,0,-1,0,0,0,100,0.75
ROP-6,RO,102,emotioneggpyramid,1,60,138.8,3,3,0,0,100,0.75
ROP-6,RO,187,emotioneggpyramid,2,60,94.75,-1,3,0,0,100,0.75
ROP-7,RO,54,emotioneggpyramid,1,60,219.266666666667,2,1,0,0,100,0.75
ROP-8,RO,57,emotioneggpyramid,1,60,183.766666666667,0,3,0,0,100,0.75
ROP-8,RO,138,emotioneggpyramid,2,60,170.666666666667,-1,3,0,0,100,0.75
ROP-9,RO,63,emotioneggpyramid,1,60,204.9,-1,0,0,0,100,0.75
ROP-9,RO,153,emotioneggpyramid,2,60,86.4666666666667,-1,0,0,0,100,0.75
