studentID,country,activityID,activitytype,level,correctemotion,emotion,emotionIntensity,maladaptative,neutralclick,naming,understanding,regulation
PTP-4,PT,52,emotionwheel,1,1,1,2,0,2,100,100,1
PTP-4,PT,79,emotionwheel,2,1,4,0,0,0,100,100,1
PTP-4,PT,49,emotionwheel,1,1,1,3,0,2,100,100,1
PTP-4,PT,62,emotionwheel,2,1,4,0,0,0,100,100,1
PTP-5,PT,21,emotionwheel,1,1,2,1,0,0,100,100,0.75
PTP-6,PT,59,emotionwheel,1,1,0,1,0,2,100,100,1
PTP-7,PT,67,emotionwheel,1,1,0,2,0,6,100,100,1
PTP-7,PT,68,emotionwheel,2,1,8,1,0,7,100,100,1
PTP-8,PT,84,emotionwheel,1,1,0,1,0,31,100,100,0.6
PTP-8,PT,87,emotionwheel,2,1,5,3,0,7,100,100,0.8
ROP-10,RO,109,emotionwheel,1,1,3,3,0,0,100,100,0.6
ROP-10,RO,162,emotionwheel,2,1,7,3,0,1,100,100,0.75
ROP-11,RO,79,emotionwheel,1,0.888888888888889,2,3,0,0,88.8888888888889,100,0.75
ROP-11,RO,116,emotionwheel,2,1,8,3,0,1,100,100,0.75
ROP-12,RO,170,emotionwheel,1,0.875,2,1,0,6,87.5,100,0.333333333333333
ROP-2,RO,98,emotionwheel,1,1,2,3,0,15,100,100,1
ROP-2,RO,5,emotionwheel,1,1,1,3,0,4,100,100,1
ROP-2,RO,6,emotionwheel,2,1,4,0,0,8,100,100,0.75
ROP-3,RO,7,emotionwheel,1,0.466666666666667,2,1,0,9,46.6666666666667,100,1
ROP-6,RO,185,emotionwheel,2,1,7,3,0,2,100,100,0.75
ROP-6,RO,22,emotionwheel,1,1,4,0,0,11,100,100,0.5
ROP-6,RO,23,emotionwheel,2,1,7,3,0,8,100,100,1
ROP-7,RO,50,emotionwheel,1,0.32,4,0,0,24,32,100,1
ROP-8,RO,55,emotionwheel,1,1,0,3,0,2,100,100,0.5
ROP-8,RO,136,emotionwheel,2,1,8,3,0,0,100,100,0.5
ROP-9,RO,61,emotionwheel,1,1,1,1,0,5,100,100,0.75
ROP-9,RO,151,emotionwheel,2,0.777777777777778,4,0,0,8,77.7777777777778,100,0.75
