studentID,country,activityID,activitytype,level,order_recall,order_recall_per_trial,wrong_order_correct_recall,wrong_order_correct_recall_per_trial,wm_retention,meanRT_sort,meanRT_memory,RT_correct,RT_incorrect
PTP-3,PT,2,workmemory,1,10,2,0,0,2,2553,1805.6,1805.6,0
PTP-3,PT,3,workmemory,2,14,2.8,0,0,3,2187.13333333333,2446.53333333333,2328.57142857143,4098
PTP-3,PT,4,workmemory,3,20,4,0,0,4,1352.7,751.75,751.75,0
PTP-4,PT,57,workmemory,1,10,2,0,0,2,2941.5,1267,1267,0
PTP-4,PT,58,workmemory,2,11,2.2,3,0.6,3,1233.93333333333,1114.86666666667,983.545454545455,1476
PTP-4,PT,59,workmemory,3,15,3,5,1,4,2015.85,1354.95,901.066666666667,2716.6
PTP-4,PT,18,workmemory,1,7,1.4,1,0.2,2,2227.7,2126.5,2037.42857142857,2334.33333333333
PTP-4,PT,19,workmemory,2,12,2.4,1,0.2,3,3935.26666666667,2069.06666666667,2157,1717.33333333333
PTP-4,PT,20,workmemory,3,16,3.2,3,0.6,4,3398.3,2253.4,1731.375,4341.5
ROP-10,RO,73,workmemory,1,7,1.4,2,0.4,2,3538.8,2136.9,1619.28571428571,3344.66666666667
ROP-10,RO,74,workmemory,2,10,2,4,0.8,3,4106.8,1722,1689.8,1786.4
ROP-10,RO,75,workmemory,3,10,2,5,1,4,2941.6,1545.2,1553.8,1536.6
ROP-11,RO,76,workmemory,1,0,0,1,0.2,0,1829.9,6429.9,0,6429.9
ROP-11,RO,77,workmemory,2,1,0.2,3,0.6,1,1517.26666666667,3174.26666666667,833,3341.5
ROP-11,RO,78,workmemory,3,3,0.6,5,1,2,1713.95,2624.85,2899.66666666667,2576.35294117647
ROP-12,RO,85,workmemory,1,0,0,2,0.4,0,2961.2,3534.8,0,3534.8
ROP-12,RO,86,workmemory,2,3,0.6,4,0.8,1,3425.26666666667,2704.33333333333,4284,2309.41666666667
ROP-12,RO,87,workmemory,3,1,0.2,9,1.8,1,2841.3,1929.2,2101,1920.15789473684
ROP-2,RO,2,workmemory,2,3,0.6,1,0.2,1,3037.2,1288.8,977.333333333333,1366.66666666667
ROP-2,RO,3,workmemory,3,3,0.6,4,0.8,2,2819.85,870.7,627.666666666667,913.588235294118
ROP-6,RO,106,workmemory,1,10,2,0,0,2,1023,608.5,608.5,0
ROP-6,RO,107,workmemory,2,15,3,0,0,3,1099.93333333333,694.533333333333,694.533333333333,0
ROP-6,RO,108,workmemory,3,16,3.2,4,0.8,4,1105.45,652.05,545.5,1078.25
ROP-6,RO,191,workmemory,1,10,2,0,0,2,1124.1,614.9,614.9,0
ROP-6,RO,192,workmemory,2,14,2.8,0,0,3,1009.46666666667,534.133333333333,527,634
ROP-8,RO,129,workmemory,1,7,1.4,2,0.4,2,2272.7,1090.4,1207.57142857143,817
ROP-8,RO,130,workmemory,2,13,2.6,2,0.4,3,1263.66666666667,984.266666666667,945.923076923077,1233.5
ROP-8,RO,131,workmemory,3,10,2,9,1.8,4,1574.3,965.75,781.8,1149.7
ROP-9,RO,143,workmemory,1,6,1.2,4,0.8,2,6847.8,3750.1,1683.33333333333,6850.25
ROP-9,RO,144,workmemory,2,10,2,4,0.8,3,3435.53333333333,2185.53333333333,1516.7,3523.2
ROP-9,RO,145,workmemory,3,6,1.2,11,2.2,2,3209.65,2075.85,2408.16666666667,1933.42857142857
